Candidate_Rank,Candidate_Tier,Selection_Score,Predicted_FXA_pKi,RF_Tree_Uncertainty,MW,cLogP,TPSA,HBD,HBA,RotBonds,HeavyAtoms,QED,SMILES,Canonical_Flat_SMILES
11,Tier_2_pKi_7p5_to_8_druglike,7.246818338964825,7.585270536025365,1.7048896230666353,584.0360000000002,4.119570000000001,158.01,5,7,9,42,0.1755404174122376,COc1c(Cl)cccc1-c1cc(C(=O)Nc2ccc(=N)[nH]c2)n(-c2ccc(C(=O)NC(CO)c3cccnc3)cc2)n1,COc1c(Cl)cccc1-c1cc(C(=O)Nc2ccc(=N)[nH]c2)n(-c2ccc(C(=O)NC(CO)c3cccnc3)cc2)n1
12,Tier_2_pKi_7p5_to_8_druglike,7.413942037595415,7.528956758022308,1.5182424862103778,441.93800000000033,4.542100000000004,63.05,1,4,9,31,0.5290918022514035,O=C(NC1CC1)c1ccc(-n2nc(Cl)c3ccc(N(CCCF)CC4CC4)nc32)cc1,O=C(NC1CC1)c1ccc(-n2nc(Cl)c3ccc(N(CCCF)CC4CC4)nc32)cc1
13,Tier_2_pKi_7p5_to_8_druglike,7.300170237077824,7.52035758412679,1.718938557051968,463.9540000000001,4.225520000000003,92.59,1,7,5,32,0.4190945844280498,Cc1c(CN(C)c2ncc(Cl)c3sc(-c4nn[nH]n4)cc23)cccc1-n1ccccc1=O,Cc1c(CN(C)c2ncc(Cl)c3sc(-c4nn[nH]n4)cc23)cccc1-n1ccccc1=O
14,Tier_2_pKi_7p5_to_8_druglike,7.50598559444659,7.506713142712911,1.554238313194491,264.66799999999995,1.9862,82.19,3,3,2,18,0.7756640600646023,O=C(Nc1ccc(O)[nH]c1=O)c1ccc(Cl)cc1,O=C(Nc1ccc(O)[nH]c1=O)c1ccc(Cl)cc1
15,Tier_2_pKi_7p5_to_8_druglike,7.3866218005363695,7.501655541578929,1.6333740774680594,399.407,2.46627,116.94,3,5,3,28,0.5866195566489105,CC(=O)c1cccc(-c2c3c(nn2-c2ccc(F)cc2)C(=N)NS(=O)(=O)N3)c1,CC(=O)c1cccc(-c2c3c(nn2-c2ccc(F)cc2)C(=N)NS(=O)(=O)N3)c1
16,Tier_3_pKi_7_to_7p5_druglike,7.223443268495752,7.474530729543594,1.7168355576888594,517.3990000000002,3.852700000000002,128.24,1,8,4,37,0.3562428567487464,Cn1nc(-c2nc(C3CCN3C(=O)c3c(F)cnn3-c3ccc4occ(O)c4c3)no2)cc1C(F)(F)F,Cn1nc(-c2nc(C3CCN3C(=O)c3c(F)cnn3-c3ccc4occ(O)c4c3)no2)cc1C(F)(F)F
17,Tier_3_pKi_7_to_7p5_druglike,7.401458165149743,7.458388994884491,1.5543433087468772,362.3610000000001,2.1487700000000003,112.69,3,4,3,25,0.6633099949039432,N=c1cnc(-c2ccc(-c3ccccc3S(N)(=O)=O)cc2F)c(F)[nH]1,N=c1cnc(-c2ccc(-c3ccccc3S(N)(=O)=O)cc2F)c(F)[nH]1
18,Tier_3_pKi_7_to_7p5_druglike,7.591348124734917,7.447006939570109,1.193560430478893,314.728,2.574700000000001,66.48,1,3,3,22,0.8854625855690622,O=C(CN1C(=O)c2ccccc2C1=O)Nc1ccc(Cl)cc1,O=C(CN1C(=O)c2ccccc2C1=O)Nc1ccc(Cl)cc1
19,Tier_3_pKi_7_to_7p5_druglike,7.233372246918564,7.440719987319765,1.557118151917014,507.53500000000014,4.0043000000000015,139.01,2,8,5,37,0.3638635951561041,O=C(O)c1nc(-c2ccc(-n3ncc4c(c3=O)N=C(c3cccc(-c5cncnc5)c3)CS4)cc2)c[nH]1,O=C(O)c1nc(-c2ccc(-n3ncc4c(c3=O)N=C(c3cccc(-c5cncnc5)c3)CS4)cc2)c[nH]1
20,Tier_3_pKi_7_to_7p5_druglike,7.2378044505154575,7.397704030009677,1.5690433800514507,467.9420000000002,3.236800000000001,119.03,2,7,5,32,0.464722531037287,NC(=O)C1CCCN1c1ccc(NC(=O)c2nnnn2-c2cc3ccc(Cl)cc3s2)cc1,NC(=O)C1CCCN1c1ccc(NC(=O)c2nnnn2-c2cc3ccc(Cl)cc3s2)cc1
21,Tier_3_pKi_7_to_7p5_druglike,7.344648679826616,7.382817850152652,1.3907179783208747,341.82700000000006,3.564400000000002,58.86,1,4,3,23,0.6190206485083658,Clc1ccc(-n2[nH]nnc2=NCc2cc3ccccc3s2)cc1,Clc1ccc(-n2[nH]nnc2=NCc2cc3ccccc3s2)cc1
22,Tier_3_pKi_7_to_7p5_druglike,7.236612931102644,7.38127860173952,1.543656643134467,551.4120000000001,1.8786,135.05,1,9,4,36,0.4824969802934808,CN1CCN(c2ccc3c(c2)S(=O)(=O)N=C(c2no[n+]([O-])c(Cc4cc(Cl)ccc4Cl)c2=O)N3)CC1,CN1CCN(c2ccc3c(c2)S(=O)(=O)N=C(c2no[n+]([O-])c(Cc4cc(Cl)ccc4Cl)c2=O)N3)CC1
23,Tier_3_pKi_7_to_7p5_druglike,7.397360679849624,7.359590304538183,1.522258600733948,300.701,2.4759,75.27000000000001,2,3,2,21,0.8366700509898553,O=C(Nc1ccc2c(c1)C(=O)NC2=O)c1ccc(Cl)cc1,O=C(Nc1ccc2c(c1)C(=O)NC2=O)c1ccc(Cl)cc1
24,Tier_3_pKi_7_to_7p5_druglike,7.206013668842565,7.354950182047344,1.5866619380666185,438.22500000000014,3.548020000000001,93.75,1,5,3,29,0.4954579426237517,Cc1nn(-c2cc3nc[nH]c(=Nc4ccc(Cl)nc4)c3cc2Cl)c(=O)n1C(F)F,Cc1nn(-c2cc3nc[nH]c(=Nc4ccc(Cl)nc4)c3cc2Cl)c(=O)n1C(F)F
25,Tier_3_pKi_7_to_7p5_druglike,7.282681112834127,7.346622827927271,1.6933109118373115,383.7950000000001,2.4601000000000006,109.32999999999998,2,5,4,27,0.718772025732368,COc1ccc(C(=O)N=c2cc[nH]c(NC(=O)c3ccc(Cl)cn3)c2)cn1,COc1ccc(C(=O)N=c2cc[nH]c(NC(=O)c3ccc(Cl)cn3)c2)cn1
26,Tier_3_pKi_7_to_7p5_druglike,7.121957405570108,7.335713729233969,1.6338891073247646,482.56200000000007,2.12107,106.62,1,8,8,34,0.3894319063346605,CC(=N)Cc1c(C(=O)OCCN2CCOCC2)c(=O)ccn1-c1cc(-n2ccccc2=O)cs1,CC(=N)Cc1c(C(=O)OCCN2CCOCC2)c(=O)ccn1-c1cc(-n2ccccc2=O)cs1
27,Tier_3_pKi_7_to_7p5_druglike,7.220101060002888,7.32227298729079,1.5392550318162832,507.9920000000001,3.971300000000003,91.37,0,7,5,34,0.565283661332335,COC(=O)C1=COC(OC2CCCCO2)C2CCC1N2S(=O)(=O)c1ccc2cc(Cl)ccc2c1,COC(=O)C1=COC(OC2CCCCO2)C2CCC1N2S(=O)(=O)c1ccc2cc(Cl)ccc2c1
28,Tier_3_pKi_7_to_7p5_druglike,7.085368910240441,7.321367563597361,1.651672191442696,459.5270000000002,4.625100000000003,106.54000000000002,1,5,4,33,0.3538387890075083,NS(=O)(=O)c1ccccc1-c1ccc(N2CCc3c(cc([N+](=O)[O-])c4ccccc34)C2)cc1,NS(=O)(=O)c1ccccc1-c1ccc(N2CCc3c(cc([N+](=O)[O-])c4ccccc34)C2)cc1
29,Tier_3_pKi_7_to_7p5_druglike,7.077404672580923,7.318045503146308,1.565599576233324,472.5040000000002,4.494000000000003,88.06,1,4,5,36,0.3015181269858912,CN1C(=O)C(c2cnn(-c3ccccc3C(=O)c3ccccc3)c2)=C(c2c[nH]c3ccccc23)C1=O,CN1C(=O)C(c2cnn(-c3ccccc3C(=O)c3ccccc3)c2)=C(c2c[nH]c3ccccc23)C1=O
30,Tier_3_pKi_7_to_7p5_druglike,7.018690937094743,7.2769264446576445,1.7514159350267813,540.6900000000004,2.2867,133.79,3,7,10,38,0.3592369523875859,CC(C)N1CCN(Cc2nc(-c3ccc(NS(C)(=O)=O)cc3)cn2-c2ccc(C(N)=O)cc2)CC1CCO,CC(C)N1CCN(Cc2nc(-c3ccc(NS(C)(=O)=O)cc3)cn2-c2ccc(C(N)=O)cc2)CC1CCO
